algorithm,n_nodes,c,seed,total_time,K,history
ns_binary_search,600,10,7,1080.039,39.0,"[[600, 0.0], [300, 0.0234], [150, 0.031], [75, 0.0405], [56, 154.8908], [46, 265.8029], [41, 421.9088], [39, 708.7972], [39, 1080.039]]"
betweenness,600,20,7,1.171,305.0,"[[600, 0.0], [305, 0.2955], [305, 1.171]]"
degree,600,20,7,0.011,306.0,"[[600, 0.0], [306, 0.0028], [306, 0.011]]"
degree_connected,600,20,7,0.3331,306.0,"[[600, 0.0], [306, 0.0823], [306, 0.3331]]"
degree_discount,600,20,7,0.1313,323.0,"[[600, 0.0], [324, 0.024], [323, 0.0459], [323, 0.1313]]"
degree_threshold,600,20,7,0.0077,303.0,"[[600, 0.0], [303, 0.0026], [303, 0.0077]]"
goldberg_liu,600,20,7,,,null
high_thetas,600,20,7,0.0383,76.0,"[[600, 0.0], [300, 0.0104], [150, 0.0178], [77, 0.028], [76, 0.0383], [76, 0.0383]]"
ns_binary_search,600,20,7,1080.0246,56.0,"[[600, 0.0], [300, 0.0231], [150, 0.0312], [75, 17.1252], [58, 323.2975], [57, 565.733], [56, 838.4784], [56, 1080.0246]]"
betweenness,1000,1,7,2.5413,252.0,"[[1000, 0.0], [500, 0.8468], [252, 1.6925], [252, 2.5413]]"
degree,1000,1,7,0.0263,252.0,"[[1000, 0.0], [500, 0.0058], [252, 0.0161], [252, 0.0263]]"
degree_connected,1000,1,7,0.5707,252.0,"[[1000, 0.0], [500, 0.3372], [252, 0.4535], [252, 0.5707]]"
degree_discount,1000,1,7,0.1142,502.0,"[[1000, 0.0], [502, 0.0575], [502, 0.1142]]"
degree_threshold,1000,1,7,0.0406,127.0,"[[1000, 0.0], [500, 0.0066], [250, 0.0144], [127, 0.0278], [127, 0.0406]]"
goldberg_liu,1000,1,7,,,null
high_thetas,1000,1,7,0.2719,86.0,"[[1000, 0.0], [500, 0.0263], [250, 0.0422], [125, 0.0582], [93, 0.0976], [89, 0.1725], [87, 0.2196], [86, 0.2719], [86, 0.2719]]"
ns_binary_search,1000,1,7,1800.059,59.0,"[[1000, 0.0], [500, 0.026], [250, 0.0418], [125, 0.0574], [62, 162.5235], [60, 1481.7576], [59, 1705.6989], [59, 1800.0589]]"
betweenness,1000,5,7,2.5134,503.0,"[[1000, 0.0], [503, 0.8352], [503, 2.5134]]"
degree,1000,5,7,0.0151,503.0,"[[1000, 0.0], [503, 0.0051], [503, 0.0151]]"
degree_connected,1000,5,7,1.0117,503.0,"[[1000, 0.0], [503, 0.3357], [503, 1.0117]]"
degree_discount,1000,5,7,0.1706,503.0,"[[1000, 0.0], [503, 0.0563], [503, 0.1706]]"
degree_threshold,1000,5,7,0.0261,253.0,"[[1000, 0.0], [500, 0.0056], [253, 0.0125], [253, 0.0261]]"
goldberg_liu,1000,5,7,,,null
high_thetas,1000,5,7,0.2327,88.0,"[[1000, 0.0], [500, 0.0259], [250, 0.0418], [125, 0.0579], [93, 0.102], [89, 0.1704], [88, 0.2327], [88, 0.2327]]"
ns_binary_search,1000,5,7,1808.7427,61.0,"[[1000, 0.0], [500, 0.0262], [250, 0.0421], [125, 0.0584], [69, 257.3326], [65, 566.1116], [63, 796.6418], [62, 1075.6841], [61, 1583.0934], [61, 1808.7426]]"
betweenness,1000,10,7,3.348,506.0,"[[1000, 0.0], [506, 0.8279], [506, 3.348]]"
degree,1000,10,7,0.0184,505.0,"[[1000, 0.0], [505, 0.0046], [505, 0.0184]]"
degree_connected,1000,10,7,1.3553,505.0,"[[1000, 0.0], [505, 0.3361], [505, 1.3553]]"
degree_discount,1000,10,7,0.2268,505.0,"[[1000, 0.0], [505, 0.0555], [505, 0.2268]]"
degree_threshold,1000,10,7,0.0106,502.0,"[[1000, 0.0], [502, 0.0053], [502, 0.0106]]"
goldberg_liu,1000,10,7,,,null
high_thetas,1000,10,7,0.207,91.0,"[[1000, 0.0], [500, 0.0261], [250, 0.042], [125, 0.0578], [93, 0.1119], [91, 0.189], [91, 0.207]]"
